제품명,리뷰어,리뷰어 정보,별점,한달이상사용,재구매여부,리뷰내용,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_주름/미백에 좋아요,피부고민_진정에 좋아요,자극도_보통이에요,자극도_자극없이 순해요,자극도_자극이 느껴져요
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),,,4,0,0,"요거 한참 궁금햇던 크림인데 친구가 잘 쓴다고해서 한번 구매해봣어요~ 전 악건성이라 딱봐도 저한텐 보습감이 부족할거같아서 안삿던건데 여름엔 쓸만하겟더라구요
우선 크림 제형이 엄청 맘에들엇어요 가볍게 흡수되는데 엄청 가벼운 느낌은 또 아니라서 딱 적당하게 좋앗어요
그리도 좀 쿨링감도 느껴져서 여름용크림으로 딱이더라구요
작은 용량도 들오잇어서 여행용으로 쓰려구요~~~",0,1,0,0,0,1,0,1,0
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),울라불라불루짱,건성 봄웜톤 민감성 홍조,1,0,0,"하…… 민감하신분들 제발 사지마세요
하필 졸업사진 찍을 때 이 제품 처음으로 썼다가(몇 달전)
양쪽 볼에 왕여드름 난 채로 찍었습니다..
ㅋㅋ
하
그냥 사진찍힌 건 보정하면 되니까 ㄱㅊ은데
모낭염이 얼굴 전체로 번졌아요…. 살면서 모낭염 한 번도 안나봤고 여드름 흉터만 살짝있었던 얼굴이
모낭염 없어지면서 흉터 엄청남고 모낭염이 지금까지도 다 안없어지고 번져서 피부과 갔다왔습니다
ㅎㅎ..본품은 쓰지도 못햇는데 너무 아깝네연..
제형이나 향 수분은 ㄱㅊ앗는데
아쉽고 빡칩니다

++사진첨부합니다….
불과 2개월 차이입니다…ㅎㅎㅎ;;진짜너무짜증나고개빡치고진짜하..*발
내가얼마나열심히관리햇는데중3한테왜이런시련을주느냐고
예전사진보니까 모공흉터만잇지 깨애끗해서진짜 눈물이가 주륵주륵..남….
피할수없으면즐기랫는대이개즐겨지냐고요 즐겨지냐고 이게
이마엔뭐가나본적이없던사람이지근이개말이되냐고요
하..울고싶
몇 개월 전 내가 여드름이 올라오고 이걸 끊었더라면…하
그때 내가 이 수분크림 때문이란걸 알아차렸더라면…
후회만 박박
그냥….. 기름막돌면 백 퍼 트러블나시는분절때사지머시고..
여드름성피부님들 피하시오..아억울해",0,1,0,1,0,0,1,0,0
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),청춘돼지,,5,0,0,"2저는 이번 제품에 만족도를 더 느끼게 됐어요
왜냐하면요 이 제품은요 쓰고 있을 때 되게 순하다는 느낌을 받 게 했거든요? 그런데 이 제품 쓰고 나니까 갱장히 괜찮네요?!!
다른 제품 쓰다가 이거 썼더니 되게 좋아요
다릉 제품 쓰다가 이걸 쓰니까 얼마나 순한건지 피부결이 달 라진다는게 느껴지더라고요
~ 다른 제품 쓰기전엔 순한걸 모르다가 이제서야 알게된 듯 해
요",0,1,0,1,0,0,0,1,0
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),호롤롤로로로로두,,5,0,0,"스쿠알란 성분 함량이 높은 제품이라서 피부타입에 따라 약간 안 맞을 수도 있어요.
하지만 스쿠알란 성분만 본인 피부에 잘 맞으면 정말 강추하는 수분크림이에요.
제형이 약간 무거운 느낌이 들기는 하지만 그만큼 속건조를 잘 잡아줘서 좋아요.",1,0,0,1,0,0,0,1,0
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),낭만냥이,중성 쿨톤 모공 민감성,3,1,0,"부드러운 크림타입으로 매끄럽게 발리고
빠르게 흡수되는 편이였어요

흡수시킬 때는 살짝 유분감이 느껴졌으나
흡수후에는 촉촉한 보습감만 남아서 좋았어요

튜브 형태라서 양조절하기 좋고
위생적으로 사용할 수 있어 편하네요

원료향 말곤 특유의 향은 없었어요",0,1,0,1,0,0,1,0,0
[단독기획] 토리든 다이브인 수딩크림 100ml 기획(+수딩크림 20ml),,,5,0,0,항상 돌고돌아 토리든으로 돌아오는것 같아요 ㅋㅋㅋ 제품이 자극도 없고 순해서 만족합니다 ! 저는 워낙 악악악건성이라서 이제품으로는 수분충전만 해주고 보습크림은 따로 바르는데 복합성이나 수부지분들은 이제품 한개로도 충분할것 같아요 ! 왜냐면 남자친구가 수부지 피부인데 건조한거없이 촉촉하니 좋다고 하더라구요 ㅎㅎ,0,1,0,0,0,1,0,1,0
[단독기획] 토리든 다이브인 수딩크림 100ml 기획(+수딩크림 20ml),밍뎅,,5,0,0,"이건 나이불문 호불호 덜 타는 것 같아요
여름에 사용하기 젤 좋운 제형이고
전 닥터지보단 토리든이 잘 맞았어요
지성뷴들 여름에 쓰기 좋아요 유분감이 덜해요",1,0,0,1,0,0,0,1,0
[단독기획] 토리든 다이브인 수딩크림 100ml 기획(+수딩크림 20ml),충동구매니니즈,복합성 여름쿨톤 모공 잡티,5,0,1,"복합성(티존심한) 인데 건조함을 느낀다????
바로 사세요!!!!

수분크림 정말 다양하게 많이 써봤는데,
토리든 수분크림 정말 순하고 복합성에게 딱 절절한 만큼의 수분감을 제공합니다.

발림성 너무 좋고, 산뜻한 마무리 감이라 진뜩하고 찝찝한 느낌 전혀 없어요.

통도 너무 예뻐서 맘에 드네요~! 재구매 의사 완전 있삼요",0,1,0,1,0,0,0,1,0
[단독기획] 토리든 다이브인 수딩크림 100ml 기획(+수딩크림 20ml),깨순이두부,복합성 봄웜톤 모공 잡티,5,0,0,"수분을 엄청 잘 채워주고 피부 열감도 내려줘서 기본템으로 정말 잘 쓰고있는 제품이에요. 이제 토리든 수분 라인은 믿고 쓸 수 있을 것 같습니당. 앰플이랑 궁합도 좋아요.

튜브형이 더 쓰기 편한 것 같아요.",0,1,0,1,0,0,0,1,0
[단독기획] 토리든 다이브인 수딩크림 100ml 기획(+수딩크림 20ml),젤리깅,복합성 여름쿨톤 모공 민감성,5,1,0,예전에 썼었는데 여름되니까 산뜻한거 쓰고싶어서 다시 구매해봤어요! 촉촉하고 산뜻해서 좋아용,1,0,0,0,0,1,0,1,0
[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,,,5,0,0,좋아서 재구매 했어요.. 진짜 좋음 저한테 잘맞는 수분크림 찾아서 행복해요!! 이런 수딩 젤 같은 수분크림 제형이 너무 가벼우면 수분이 빨리 날아가서 그런건지 얼굴이 가렵고 근질거리는 느낌이 드는 제품도 있었는데 넘버즈인은 안그래서 넘 좋아요.. 피부 상태 별로다 싶을땐 좀 더 빨리 진정되길 바라는 마음으로 1번 라인 파우더 섞어서 발라도 좋았고 그냥 크림만 발리도 수분충전 솩 되는 느낌이라 편안하고 좋았어요. 봄~여름에만 사용해봤지만 가을 겨울에도 큰 문제는 없을 것 같은??! 튜브형 나온 것도 완전 굿굿,0,1,0,1,0,0,0,1,0
[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,홍시동시,복합성 여름쿨톤 다크서클 모공,5,0,0,"살다살다 출근길에 리뷰를 써보네여…

저처럼 반신반의로 구매하시는 분들도 있겠지만

고민이 많이 고민 하실것 같은 분들한테 도움되고지 리뷰 씁니다

일단 토너패드,세럼,크림 세개 다 같이 7일차 사용중인데

제품 사용 후 피지분비량+모공에 쌓이는 화이트헤드가

현저히 줄었어요!!!🥹

일단 저는 모공쟁이에 피지분지량이 많아 모공에 피지가 잘 쌓이고 화장 후 메이크업 무너짐 뿐만 아니라
걍 화장하는것 자체가 스트레스인 사람인데 효과는
사용 2일차?부터 느껴졌던 것 같아요

✔️유분기가 많으신 분들 추천합니다👍

유분감이 거의 없습니다 제춤 흡수도 잘 되구요

저녁엔 수분크림이나 재생크림 덧발라서 사용했고,

속은 건조한데 겉에 유분기만 도시는 분들은

적절한 유수분밸런스를 맞춰 사용하시는게 좋을것 같아요ㅠ

수분감이 느껴지는 제품은 아닙니다

다만 이정도 효과면 세일 할때 사면 오히려 개꿀 개이득

세럼은 4-5번?펌핑해서 사용,크림은 엄지손톱 두개정도 아침 저녁으로 사용 했어요",0,0,1,0,0,1,0,1,0
[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,정두팔,트러블성 모공 민감성,4,0,0,"설명된대로 피지조절돼서 마무리감이 부드럽고
흡수가 빨라서 산뜻한 수분감만 남는 제형이에요.

땀쟁이라 사실 크림 좀만 무거우면
인중에 땀부터 나기 시작하는데 ㅋㅋ
얘는 안그래요! 겉도는 느낌도 없고
여름철에 쓰기 좋은 듯!

그리고 이번에 해당 라인 제품들을
모두 사용해보고 있어서
이것만의 효과라고는 할 수 없지만

속부터 곪은 뾰루지도 좀 사그라들고,
여드름 흉터들이 옅어지는 게 보여요!

갓 난 상처에는 처음에 살짝 따가운 느낌이 있습니다!

뚜껑이 깊어서 같이 주는 스파츌라
중간 캡 사이에 넣을 수 있어서 편해요
넣으면 약간 덜 닫히긴 합니다!",0,1,0,0,0,1,1,0,0
[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,고영씨,복합성 쿨톤 다크서클,5,0,0,"보습&진정으로 굳이 나누자면 진정쪽인것같아요
수분감도 충분하지만 한번씩 뾰루지 아니면 좁쌀 같은게 올라왔을때
확실히 가라앉는다는 느낌의 효과를 봐서 ‘진정‘에 가깝다 생각하게 됐고
거기다가 보습까지 충분해서 올해 스킨케어중 가장 맘에듭니다
유분도 많이 안올라오고 메이크업 전에도 사용하기 좋고
저녁에 듬뿎 바르고 자도좋고
그냥 언제든 쓰기 좋았어요
유분이 많이 안올라오는거, 마무리감 산뜻한거
가장 좋았습니당",1,0,0,0,0,1,0,1,0
[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,립순이,복합성 쿨톤 각질 모공,5,1,0,"둘째 가라면 서러운 심한 민감성 피부인데
넘버즈인 1번 라인 토너랑 토너패드를 진짜 오래 썼어요
(지금은 더 잘맞는 제품을 찾아서 안쓰지만 짱좋음!)
몇달 전에 1번 세럼 출시되자마자 바로 사서 잘 쓰다가
마침 민스코님 마켓이 열려서 또 쟁여놨지요

크림은 제가 수딩제형을 별로 선호하지 않아서
별 관심 없었는데 채우님이 하~~도 추천을 하셔서
사버렸지 뭐에요ㅋㅋㅋ..
푸딩처럼 탱글탱글한 제형이고 투명색에 가까워요
수딩크림이라 엄청 가벼울 줄 알았는데
생각보다 좀 무겁다 해야되나?
보기와는 달리 유분감이 살짝 있어요
개인적으로 느끼기에 수분70+유분30 정도
(T존 기름좔좔, U존 건조한 복합성입니다)
바르면 얼굴 번쩍번쩍할 정도로 수분감이 넘치지만
흡수되고 나면 얼굴에 유분이 좀 돌아요
저는 화장을 안하지만 아침에 이거 양조절 안하고 화장하면
아마 밀릴 거에요..! 참고 바랍니다
저는 요즘 저녁마다 듬뿍 바르고 자는데
아침에 얼굴이 매끈탱탱 그자체ㅋㅋ 짱좋아요
피지나 트러블 컨트롤 효과는 아직 모르겠지만
일단 민감한 얼굴에 잘맞고 아침 피부컨디션이 좋아서
잘쓰고 있어요! 1+1으로 저렴하게 잘사서 기분 좋아요!!",0,1,0,1,0,0,0,1,0
[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,,,5,0,0,"메이크업전에 사용하면 광도 나고 피부결도 예뻐보여요.
메이크업 유지력도 길어지고 유분도 적게 올라와서 짱이예요.
향도 무향이라 부담스럽지 않아요.
여름철 아침. 저녁 다 쓰고 있는데 너무 좋아요.
메이크업전에는 소량으로 바르셔야 해요.",0,1,0,1,0,0,0,1,0
[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,빠르밍,복합성 봄웜톤 모공 주름,5,0,1,보습감 좋고 얇게 바르면 지성 화잘먹 크림으로도 좋아요! 만족해요,1,0,0,1,0,0,0,1,0
[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,밥통속밥,지성 겨울쿨톤 다크서클 모공,5,0,0,오 정말 좋아요!!반신반의 그냥 유튜버 보고 꽂혀서 샀는데 생각보다 너무 좋은 것..?,1,0,0,1,0,0,0,1,0
[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,진진자라미,중성 겨울쿨톤 다크서클 미백,5,1,0,"스킨토너 후에 마무리로 발라주면 수분감이 싹 가둬지는 느낌이 들어요.
그렇다고 해서 건성용으로 적합하냐? 하면 그건 또 아니에요...
약간 산뜻한 느낌에 가까운 수분감 가둬주는 느낌이에요!
유수분 밸런스가 잘 맞춰진 것 같아요 ㅎㅎ
(겨울철)지성 or (사계절 내내)수부지한테 적합한 느낌 !",0,0,1,1,0,0,0,1,0
[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,유쬬,트러블성 웜톤 모공 민감성,5,0,0,"이거 요물입니다 ㄹㅇ걍 자기 전에 기초로 발라도 좋고 화장전에 발라도 찰떡으로 먹어요
딱 수분만 있는 제형이라 기름진 제형 싫어하시는 분들 이거 사세요 이거 하나면 기초 끝이에요
저는 다른 기능성화장품은 사실 의미 없다고 생각하거든요 미백이나 주름 관리는 차라리 피부과를 가고 그 외의 수분관리만 집에서 잘 하면 된다 생각해서 수분 케어만 착실히 하는데 이고 진짜 제 인생템이에요 복합성이라 얼굴 세안 후에 아무것도 안 바르면 건조한데 또 코랑 이마는 조금 기름진데 이거 바르면 상대적으로 건조한 볼도 건조하지 않고 코 이마 같이 기름진 곳도 기름이 덜 올라와요 딱 중건성 복합성 피부를 위한 수분크림입니다
전 이거 단종하면 트럭시위 할 거예요……..",0,1,0,1,0,0,0,1,0
"[7월 올영픽/단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)",,,3,0,0,"+) 한달리뷰 추가
트러블 진정에 딱히 효과는 못 봤어요. 엄청 효과 좋다고 막 그러길래 팔랑귀인 저는 홀려서 요 라인 스킨 앰플 크림 함께 썼는데..굳이? 싶었어요. 재구매의사는 여전히 없습니다.

📌파티온 트러블 크림 간단후기
무게감: 가벼움
발림성: 부드러움
제형: 불투명한 흰색, 수분감 있는 제형
끈적임: 없음
진정효과: 딱히 없음(선택지가 3개뿐이라 ‘진정에 좋아요’를 골랐을 뿐입니다)
=>재구매 의사 없음. 화장품은 역시 사바사입니다.


1️⃣구매사유
유튜브에서 트러블 크림으로 강추하길래 사봤어요. 제약사 제품이라 좀 더 믿고 구매하게 되었습니다.


2️⃣사용후기
-제형
튜브를 누르면 불투명한 흰색의 제형이 부드럽게 나옵니다. 수분감 있는 제형이라 잘 펴발리는 편이에요.

-무게감
촉촉하고 금방 스며드는 가벼운 크림이에요. 밤에 쓰기에는 좀 너무 가벼운 느낌이긴해요.

-끈적임
끈적임은 없습니다. 산뜻한 마무리감이에요.

-향
딱히 향이 안 느껴졌어요.

-진정효과
딱히...‘이걸 쓰고 트러블이 들어갔어요!’ 하는 건 없었습니다. 이 제품으로 인한 트러블은 없었구요.


3️⃣총평
트러블에 딱히 효과는 못 봤어요. 트러블 진정에는 이런 제품보다 스팟 제품이 더 맞나봐요. 트러블 진정에는 이 제품보다 다x소 마x카xx 스팟 제품이 저에겐 더 잘 맞았어요. 화장품은, 특히 기초는 역시 사바사가 심하니 이점 참고해주세요.

저의 리뷰가 도움이 되셨다면 아래 👍를 한 번 씩 눌러주세요🥰",0,1,0,0,0,1,0,1,0
"[7월 올영픽/단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)",소심올챙이,복합성 여름쿨톤 모공 민감성,5,1,0,"파티온 세럼이랑 크림 같이 사용중이에요
세럼도 촉촉해서 좋은데 크림까지 바르면 다음날 아침까지 건조하지 않아서 자기전에 꼭 바르고자요~!
속건조도 심하고 평소 관리를 잘하는 편이아니라 기초제품만 사용하는데 자극도 없고 끈적거림없이 잘 흡수돼서 쓰기좋아요
발림성도 좋고 흡수도 빠른것같아요~!
향도 거의 없는편이라 향에 민감하신 분들도 사용하기 괜찮아요",1,0,0,1,0,0,0,1,0
"[7월 올영픽/단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)",송지혜,복합성 웜톤 모공 미백,5,0,1,"좋아서 재 재 재구매 했습니다
피부가 예민해서 스킨케어 할 때도 너무 따갑고 바를 엄두가 안 났었는데 노스 카나인 제품들은 발랐을 때 따갑지도 않고 흡수력도 좋고 촉촉하고 만족스러워서 계속 쓰고 있어요
저는 이 크림이랑 노스 카나 인라인 중에 엠플이랑 같이 쓰고 있어요 둘이 같이 쓰시는 거 추천 피부가 많이 가라 앉았어요
저 같은 피부고민 있으시면 파티 온 노스 카나인 제품 추천 드려요",1,0,0,1,0,0,0,1,0
"[7월 올영픽/단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)",손명진,,4,0,1,"3개월간(23.12~24.03) 사용해보고 작성하는 후기예요:)

저는 화농성, 좁쌀 여드름 다 나는 사람입니다!
결론부터 말하자면 좁쌀엔 효과 없고, 화농성에는 좋았어요. 여드름이 가라앉는데 도움을 주더라구요. 특히 여드름으로 인해 갓 생긴 붉은끼 완화에 가장 좋았어요👍
화농성이 고민인 분들은 한 번 구매해보셔도 좋을 것 같고, 좁쌀이 고민인 분들께는 크게 도움되지 않을 것 같습니다.

그런데 재구매는 아직 고민 중인게, 이 제품 보습력이 많이 부족해요ㅜㅜ
저는 기름많은 수부지인데, 웬만하면 건조함 심하게 안 느끼는데도 얘는 사용하고 나면 얼굴이 많이 건조하더라구요..!
크림 레이어링 잘 안 하는데 이 제품은 꼭 2번씩 덧발라줬어요
건성분들께는 많이 건조할 것 같고, 지성분들께 추천합니다.
겨울이라 더 건조하게 느껴진 것 같아서 만약 재구매를 한다면 여름에 해볼 것 같아요.
수분감이 부족하지만, 유분감도 적어서 얼굴에 기름 올라오는 것은 적었으니 참고해주세용",0,0,1,0,0,1,0,1,0
